AcresBurned,Location ID,Location,MeasurementID,CountyIds,Latitude,Longitude,Month,Year
100,CA-073,San Diego,2013-CA-073,37,32.564465,-116.900368,5,2013
98,CA-045,Mendocino,2013-CA-045,23,38.9252,-122.966,9,2013
97,CA-049,Modoc,2013-CA-049,25,41.73325,-120.375,9,2013
97,CA-071,San Bernardino,2013-CA-071,36,33.642,-116.706,8,2013
97,CA-035,Lassen,2013-CA-035,18,40.88886,-120.958126,8,2013
96,CA-005,Amador,2013-CA-005,3,38.27783,-120.966016,6,2013
94,CA-079,San Luis Obispo,2013-CA-079,40,35.4393,-120.8358,9,2013
92,CA-007,Butte,2013-CA-007,4,39.6612,-121.50354,8,2013
91,CA-039,Madera,2013-CA-039,20,37.1927,-119.7917,5,2013
90,CA-065,Riverside,2013-CA-065,33,33.9582,-116.6534,5,2013
85,CA-079,San Luis Obispo,2013-CA-079,40,35.62743,-120.83417,7,2013
82,CA-045,Mendocino,2013-CA-045,23,39.0442,-123.1478,11,2013
80,CA-007,Butte,2013-CA-007,4,39.731878,-121.713938,8,2013
80,CA-019,Fresno,2013-CA-019,10,0,0,4,2013
75,CA-103,Tehama,2013-CA-103,52,0,0,9,2013
75,CA-071,San Bernardino,2013-CA-071,36,34.316,-117.352,7,2013
75,CA-039,Madera,2013-CA-039,20,37.169379,-119.75636,6,2013
75,CA-071,San Bernardino,2013-CA-071,36,34.1834,-117.4408,5,2013
75,CA-055,Napa,2013-CA-055,28,38.441792,-122.350844,4,2013
73,CA-071,San Bernardino,2013-CA-071,36,34.003151,-117.106075,9,2013
73,CA-115,Yuba,2013-CA-115,58,39.206,-121.31634,7,2013
72,CA-007,Butte,2013-CA-007,4,0,0,5,2013
70,CA-033,Lake,2013-CA-033,17,39.013682,-122.491894,8,2013
68,CA-049,Modoc,2013-CA-049,25,41.569,-120.959,9,2013
64,CA-111,Ventura,2013-CA-111,56,34.384,-119.13249,11,2013
60,CA-065,Riverside,2013-CA-065,33,38.838,-116.61,8,2013
60,CA-065,Riverside,2013-CA-065,33,33.91027,-116.99895,8,2013
52,CA-057,Nevada,2013-CA-057,29,39.333401,-121.107022,8,2013
51,CA-079,San Luis Obispo,2013-CA-079,40,35.457978,-120.751555,11,2013
50,CA-033,Lake,2013-CA-033,17,39.0448,-122.7656,11,2013
50,CA-093,Siskiyou,2013-CA-093,47,41.923323,-122.578393,8,2013
50,CA-085,Santa Clara,2013-CA-085,43,37.1438,-121.7804,7,2013
50,CA-001,Alameda,2013-CA-001,1,37.7393,-121.5869,7,2013
50,CA-079,San Luis Obispo,2013-CA-079,40,35.5123,-120.6368,5,2013
46,CA-009,Calaveras,2013-CA-009,5,38.06231,-120.45233,8,2013
46,CA-019,Fresno,2013-CA-019,10,37.03087,-119.463757,6,2013
45,CA-045,Mendocino,2013-CA-045,23,38.980846,-123.067671,7,2013
44,CA-111,Ventura,2013-CA-111,56,0,0,12,2013
43,CA-089,Shasta,2013-CA-089,45,40.373,-122.7338,7,2013
42,CA-065,Riverside,2013-CA-065,33,33.96936,-117.1265,6,2013
41,CA-081,San Mateo,2013-CA-081,41,37.667295,-122.427285,9,2013
40,CA-085,Santa Clara,2013-CA-085,43,37.342186,-121.717706,12,2013
40,CA-059,Orange,2013-CA-059,30,33.7655,-117.6649,10,2013
40,CA-073,San Diego,2013-CA-073,37,0,0,9,2013
40,CA-065,Riverside,2013-CA-065,33,33.570291,-116.10815,8,2013
40,CA-093,Siskiyou,2013-CA-093,47,0,0,7,2013
40,CA-065,Riverside,2013-CA-065,33,33.9634,-117.2508,7,2013
40,CA-065,Riverside,2013-CA-065,33,34.001745,-117.302057,6,2013
40,CA-065,Riverside,2013-CA-065,33,33.655638,-116.161201,5,2013
38,CA-017,El Dorado,2013-CA-017,9,38.89555,-120.84716,8,2013
38,CA-033,Lake,2013-CA-033,17,39.1591,-122.5906,8,2013
38,CA-001,Alameda,2013-CA-001,1,37.74241,-121.86216,7,2013
35,CA-019,Fresno,2013-CA-019,10,36.763367,-119.558244,6,2013
35,CA-079,San Luis Obispo,2013-CA-079,40,35.49864,-120.91375,5,2013
34,CA-089,Shasta,2013-CA-089,45,0,0,8,2013
33,CA-089,Shasta,2013-CA-089,45,40.483662,-122.140914,11,2013
31,CA-009,Calaveras,2013-CA-009,5,37.965364,-120.696362,7,2013
