Measurement ID,Year,Location ID,Location,Min Temp,Max Temp,Avg Temp
2015-CA-043,2015,CA-043,Mariposa,44.5,70.5,57.5
2015-CA-045,2015,CA-045,Mendocino,46,70,58
2015-CA-047,2015,CA-047,Merced,51.1,76.8,64
2015-CA-049,2015,CA-049,Modoc,36.2,63.4,49.8
2015-CA-051,2015,CA-051,Mono,32.7,60.2,46.4
2015-CA-053,2015,CA-053,Monterey,46.6,75,60.8
2015-CA-055,2015,CA-055,Napa,48.3,74.7,61.6
2015-CA-057,2015,CA-057,Nevada,42.5,67.1,54.8
2015-CA-059,2015,CA-059,Orange,56.7,77.3,67
2015-CA-061,2015,CA-061,Placer,43.8,68.3,56
2015-CA-063,2015,CA-063,Plumas,36.6,63.4,50
2015-CA-065,2015,CA-065,Riverside,57.4,82.6,70
2015-CA-067,2015,CA-067,Sacramento,50.7,77.6,64.1
2015-CA-069,2015,CA-069,San Benito,47.8,74.3,61.1
2015-CA-071,2015,CA-071,San Bernardino,55.8,80.5,68.1
2015-CA-073,2015,CA-073,San Diego,52.2,77.7,64.9
2015-CA-075,2015,CA-075,San Francisco,51.3,67.3,59.4
2015-CA-077,2015,CA-077,San Joaquin,50.2,77.5,63.9
2015-CA-079,2015,CA-079,San Luis Obispo,47.5,75.4,61.4
2015-CA-081,2015,CA-081,San Mateo,49.5,68.8,59.2
2015-CA-083,2015,CA-083,Santa Barbara,48.6,73.8,61.2
2015-CA-085,2015,CA-085,Santa Clara,48.5,72.2,60.4
2015-CA-087,2015,CA-087,Santa Cruz,47.8,72.4,60.1
2015-CA-089,2015,CA-089,Shasta,44.9,71,58
2015-CA-091,2015,CA-091,Sierra,36.7,62.6,49.7
2015-CA-093,2015,CA-093,Siskiyou,39.9,64,51.9
2015-CA-095,2015,CA-095,Solano,50,75.6,62.8
2015-CA-097,2015,CA-097,Sonoma,47.6,71.2,59.4
2015-CA-099,2015,CA-099,Stanislaus,49.9,76.3,63.1
2015-CA-101,2015,CA-101,Sutter,51.2,78.7,65
2015-CA-103,2015,CA-103,Tehama,48.8,73.7,61.3
2015-CA-105,2015,CA-105,Trinity,42.5,68.6,55.6
2015-CA-107,2015,CA-107,Tulare,44,68.5,56.2
2015-CA-109,2015,CA-109,Tuolumne,40.3,64.5,52.5
2015-CA-111,2015,CA-111,Ventura,47.7,73.6,60.7
2015-CA-113,2015,CA-113,Yolo,50,77.8,63.9
2015-CA-115,2015,CA-115,Yuba,50.1,75.9,63
2016-CA-001,2016,CA-001,Alameda,49.9,70.8,60.4
2016-CA-003,2016,CA-003,Alpine,34.8,57,45.9
2016-CA-005,2016,CA-005,Amador,47.1,71.4,59.2
2016-CA-007,2016,CA-007,Butte,48.5,73.1,60.8
2016-CA-009,2016,CA-009,Calaveras,47,72.1,59.5
2016-CA-011,2016,CA-011,Colusa,49.7,75.3,62.5
2016-CA-013,2016,CA-013,Contra Costa,50,72.3,61.2
2016-CA-015,2016,CA-015,Del Norte,43.5,62.2,52.9
2016-CA-017,2016,CA-017,El Dorado,43.9,66.6,55.2
2016-CA-019,2016,CA-019,Fresno,44.5,70.1,57.3
2016-CA-021,2016,CA-021,Glenn,48.9,73.3,61.1
2016-CA-023,2016,CA-023,Humboldt,45.7,65.9,55.8
2016-CA-025,2016,CA-025,Imperial,61.9,89.1,75.5
2016-CA-027,2016,CA-027,Inyo,49.6,75,62.3
2016-CA-029,2016,CA-029,Kern,50.7,76.5,63.6
2016-CA-031,2016,CA-031,Kings,52.4,79.1,65.7
2016-CA-033,2016,CA-033,Lake,46.7,69.3,58
2016-CA-035,2016,CA-035,Lassen,35.5,61.6,48.5
2016-CA-037,2016,CA-037,Los Angeles,52,75.4,63.7
2016-CA-039,2016,CA-039,Madera,44.8,70.9,57.9
2016-CA-041,2016,CA-041,Marin,48.8,65.4,57.1
2016-CA-043,2016,CA-043,Mariposa,43.8,70,56.9
2016-CA-045,2016,CA-045,Mendocino,45.8,67.5,56.6
2016-CA-047,2016,CA-047,Merced,51.3,76.7,64
2016-CA-049,2016,CA-049,Modoc,35.4,61.3,48.3
2016-CA-051,2016,CA-051,Mono,32.3,60.3,46.3
2016-CA-053,2016,CA-053,Monterey,46.1,73.9,60
2016-CA-055,2016,CA-055,Napa,48.1,72.6,60.4
2016-CA-057,2016,CA-057,Nevada,41.3,65.4,53.4
2016-CA-059,2016,CA-059,Orange,56,76.2,66.1
2016-CA-061,2016,CA-061,Placer,43,66.9,55
2016-CA-063,2016,CA-063,Plumas,36.1,61.6,48.9
2016-CA-065,2016,CA-065,Riverside,57.3,82.9,70.1
2016-CA-067,2016,CA-067,Sacramento,50.4,76.6,63.5
2016-CA-069,2016,CA-069,San Benito,47.5,73.2,60.4
2016-CA-071,2016,CA-071,San Bernardino,55.8,80.4,68.1
2016-CA-073,2016,CA-073,San Diego,52,77.7,64.8
2016-CA-075,2016,CA-075,San Francisco,50.7,65.9,58.3
2016-CA-077,2016,CA-077,San Joaquin,50,76.6,63.3
2016-CA-079,2016,CA-079,San Luis Obispo,47.2,75,61.1
2016-CA-081,2016,CA-081,San Mateo,49,67.4,58.2
2016-CA-083,2016,CA-083,Santa Barbara,48,72.7,60.4
2016-CA-085,2016,CA-085,Santa Clara,48.6,71.2,59.9
2016-CA-087,2016,CA-087,Santa Cruz,47.8,70,58.9
2016-CA-089,2016,CA-089,Shasta,44.1,68.5,56.3
2016-CA-091,2016,CA-091,Sierra,36,61.1,48.6
2016-CA-093,2016,CA-093,Siskiyou,38.7,61.5,50.1
2016-CA-095,2016,CA-095,Solano,49.6,74.2,61.9
2016-CA-097,2016,CA-097,Sonoma,47.3,69,58.2
2016-CA-099,2016,CA-099,Stanislaus,50,76.3,63.2
2016-CA-101,2016,CA-101,Sutter,51.1,77.5,64.3
2016-CA-103,2016,CA-103,Tehama,48.2,71.1,59.7
2016-CA-105,2016,CA-105,Trinity,42,66,54
2016-CA-107,2016,CA-107,Tulare,43.6,68.1,55.8
2016-CA-109,2016,CA-109,Tuolumne,39.7,63.9,51.8
2016-CA-111,2016,CA-111,Ventura,46.7,72.5,59.6
2016-CA-113,2016,CA-113,Yolo,49.8,76.3,63.1
2016-CA-115,2016,CA-115,Yuba,49.5,74,61.7
2017-CA-001,2017,CA-001,Alameda,49.8,71.2,60.5
2017-CA-003,2017,CA-003,Alpine,34.3,56.5,45.4
2017-CA-005,2017,CA-005,Amador,47.6,71.5,59.5
2017-CA-007,2017,CA-007,Butte,48.9,73.4,61.1
2017-CA-009,2017,CA-009,Calaveras,47.7,72.3,60
2017-CA-011,2017,CA-011,Colusa,50,75.8,62.9
2017-CA-013,2017,CA-013,Contra Costa,50.3,72.7,61.5
2017-CA-015,2017,CA-015,Del Norte,43.4,61.5,52.4
2017-CA-017,2017,CA-017,El Dorado,44.2,66.5,55.3
2017-CA-019,2017,CA-019,Fresno,44.8,69.9,57.3
2017-CA-021,2017,CA-021,Glenn,48.6,74.1,61.4
2017-CA-023,2017,CA-023,Humboldt,44.8,64.8,54.8
2017-CA-025,2017,CA-025,Imperial,62.9,89.7,76.3
2017-CA-027,2017,CA-027,Inyo,49.9,75.3,62.6
2017-CA-029,2017,CA-029,Kern,51,76.6,63.8
