UniqueID,MeasurementID,AcresBurned,Latitude,Longitude,Month,Year,LocationID,Location,Rainfall,MinTemp,MaxTemp,AvgTemp
2013-11-CA-097-3505,2013-CA-097,3505,38.8167,-122.8498,11,2013,CA-097,Sonoma,10.12,44.8,70.2,57.5
2013-7-CA-099-150,2013-CA-099,150,37.436,-121.1955,7,2013,CA-099,Stanislaus,4.37,48,75.8,61.9
2013-7-CA-103-195,2013-CA-103,195,39.961309,-122.330879,7,2013,CA-103,Tehama,11.42,46.7,73.1,59.9
2013-7-CA-103-200,2013-CA-103,200,40.012398,-122.079871,7,2013,CA-103,Tehama,11.42,46.7,73.1,59.9
2013-8-CA-103-11429,2013-CA-103,11429,40.04263,-121.85397,8,2013,CA-103,Tehama,11.42,46.7,73.1,59.9
2013-5-CA-103-6965,2013-CA-103,6965,40.190062,-121.595555,5,2013,CA-103,Tehama,11.42,46.7,73.1,59.9
2013-8-CA-107-2060,2013-CA-107,2060,36.208,-118.444,8,2013,CA-107,Tulare,6.87,42.8,68.3,55.6
2013-9-CA-107-134,2013-CA-107,134,36.258,-118.459,9,2013,CA-107,Tulare,6.87,42.8,68.3,55.6
2013-6-CA-109-100,2013-CA-109,100,37.91529,-120.33313,6,2013,CA-109,Tuolumne,12.64,37.9,64,51
2013-8-CA-109-257314,2013-CA-109,257314,37.857,-120.086,8,2013,CA-109,Tuolumne,12.64,37.9,64,51
2013-8-CA-109-1070,2013-CA-109,1070,38.25108,-120.02778,8,2013,CA-109,Tuolumne,12.64,37.9,64,51
2013-5-CA-111-4346,2013-CA-111,4346,34.7861,-118.9411,5,2013,CA-111,Ventura,4.93,46.1,72.6,59.3
2013-11-CA-111-64,2013-CA-111,64,34.384,-119.13249,11,2013,CA-111,Ventura,4.93,46.1,72.6,59.3
2013-11-CA-113-163,2013-CA-113,163,38.67479,-122.08725,11,2013,CA-113,Yolo,5.79,47.8,77.1,62.5
2013-7-CA-115-73,2013-CA-115,73,39.206,-121.31634,7,2013,CA-115,Yuba,11.15,48,75.1,61.5
2014-7-CA-005-4240,2014-CA-005,4240,38.5691,-120.7819,7,2014,CA-005,Amador,31.29,48.6,73.3,61
2014-7-CA-007-72,2014-CA-007,72,39.4664,-121.6129,7,2014,CA-007,Butte,43.72,50,74.9,62.4
2014-6-CA-009-85,2014-CA-009,85,38.058,-120.66,6,2014,CA-009,Calaveras,29.56,48.3,74,61.1
2014-6-CA-009-120,2014-CA-009,120,120.679019,38.178241,6,2014,CA-009,Calaveras,29.56,48.3,74,61.1
2014-7-CA-013-80,2014-CA-013,80,37.5359,-121.5118,7,2014,CA-013,Contra Costa,21.07,51.4,74,62.7
2014-9-CA-017-97717,2014-CA-017,97717,38.805437,-120.629714,9,2014,CA-017,El Dorado,39.91,45.1,68.2,56.7
2014-9-CA-017-94,2014-CA-017,94,38.59,-120.028,9,2014,CA-017,El Dorado,39.91,45.1,68.2,56.7
2014-7-CA-017-30,2014-CA-017,30,38.608336,-120.703238,7,2014,CA-017,El Dorado,39.91,45.1,68.2,56.7
2014-7-CA-017-4240,2014-CA-017,4240,38.5691,-120.7819,7,2014,CA-017,El Dorado,39.91,45.1,68.2,56.7
2014-9-CA-017-20,2014-CA-017,20,38.9195001,-120.1140659,9,2014,CA-017,El Dorado,39.91,45.1,68.2,56.7
2014-6-CA-019-25,2014-CA-019,25,36.742747,-119.241493,6,2014,CA-019,Fresno,12.44,46,72,59
2014-1-CA-019-106,2014-CA-019,106,36.8266,-119.3415,1,2014,CA-019,Fresno,12.44,46,72,59
2014-6-CA-019-40,2014-CA-019,40,36.991825,-119.525506,6,2014,CA-019,Fresno,12.44,46,72,59
2014-1-CA-023-333,2014-CA-023,333,40.884415,-123.773779,1,2014,CA-023,Humboldt,54.59,46.2,67.2,56.7
2014-9-CA-023-210,2014-CA-023,210,41.134,-123.753,9,2014,CA-023,Humboldt,54.59,46.2,67.2,56.7
2014-4-CA-027-113,2014-CA-027,113,37.399,-118.352,4,2014,CA-027,Inyo,4.68,50.3,76.8,63.6
2014-8-CA-029-4045,2014-CA-029,4045,35.7206,-118.4747,8,2014,CA-029,Kern,6.17,51.6,78.3,65
2014-7-CA-029-1680,2014-CA-029,1680,35.642,-118.15,7,2014,CA-029,Kern,6.17,51.6,78.3,65
2014-6-CA-029-3895,2014-CA-029,3895,35.70683,-118.555527,6,2014,CA-029,Kern,6.17,51.6,78.3,65
