MeasurementID,Year,LocationID,Location,Value,MinTemp,MaxTemp,AvgTemp
2016-CA-009,2016,CA-009,Calaveras,40.49,47,72.1,59.5
2016-CA-011,2016,CA-011,Colusa,25.49,49.7,75.3,62.5
2016-CA-013,2016,CA-013,Contra Costa,22.55,50,72.3,61.2
2016-CA-015,2016,CA-015,Del Norte,97.59,43.5,62.2,52.9
2016-CA-017,2016,CA-017,El Dorado,53.14,43.9,66.6,55.2
2016-CA-019,2016,CA-019,Fresno,19.6,44.5,70.1,57.3
2016-CA-021,2016,CA-021,Glenn,29.61,48.9,73.3,61.1
2016-CA-023,2016,CA-023,Humboldt,79.86,45.7,65.9,55.8
2016-CA-025,2016,CA-025,Imperial,3.06,61.9,89.1,75.5
2016-CA-027,2016,CA-027,Inyo,4.91,49.6,75,62.3
2016-CA-029,2016,CA-029,Kern,9.21,50.7,76.5,63.6
2016-CA-031,2016,CA-031,Kings,7.61,52.4,79.1,65.7
2016-CA-033,2016,CA-033,Lake,55.34,46.7,69.3,58
2016-CA-035,2016,CA-035,Lassen,23.63,35.5,61.6,48.5
2016-CA-037,2016,CA-037,Los Angeles,12.59,52,75.4,63.7
2016-CA-039,2016,CA-039,Madera,24.08,44.8,70.9,57.9
2016-CA-041,2016,CA-041,Marin,40.81,48.8,65.4,57.1
2016-CA-043,2016,CA-043,Mariposa,34.7,43.8,70,56.9
2016-CA-045,2016,CA-045,Mendocino,65.92,45.8,67.5,56.6
2016-CA-047,2016,CA-047,Merced,14.46,51.3,76.7,64
2016-CA-049,2016,CA-049,Modoc,19.17,35.4,61.3,48.3
2016-CA-051,2016,CA-051,Mono,15.22,32.3,60.3,46.3
2016-CA-053,2016,CA-053,Monterey,20.86,46.1,73.9,60
2016-CA-055,2016,CA-055,Napa,36.01,48.1,72.6,60.4
2016-CA-057,2016,CA-057,Nevada,65.78,41.3,65.4,53.4
2016-CA-059,2016,CA-059,Orange,10.92,56,76.2,66.1
2016-CA-061,2016,CA-061,Placer,57.28,43,66.9,55
2016-CA-063,2016,CA-063,Plumas,52.75,36.1,61.6,48.9
2016-CA-065,2016,CA-065,Riverside,8.04,57.3,82.9,70.1
2016-CA-067,2016,CA-067,Sacramento,22.67,50.4,76.6,63.5
2016-CA-069,2016,CA-069,San Benito,17.65,47.5,73.2,60.4
2016-CA-071,2016,CA-071,San Bernardino,6.6,55.8,80.4,68.1
2016-CA-073,2016,CA-073,San Diego,13.17,52,77.7,64.8
2016-CA-075,2016,CA-075,San Francisco,28.85,50.7,65.9,58.3
2016-CA-077,2016,CA-077,San Joaquin,18.33,50,76.6,63.3
2016-CA-079,2016,CA-079,San Luis Obispo,16.06,47.2,75,61.1
2016-CA-081,2016,CA-081,San Mateo,33.08,49,67.4,58.2
2016-CA-083,2016,CA-083,Santa Barbara,15.99,48,72.7,60.4
2016-CA-085,2016,CA-085,Santa Clara,29.64,48.6,71.2,59.9
2016-CA-087,2016,CA-087,Santa Cruz,40.44,47.8,70,58.9
2016-CA-089,2016,CA-089,Shasta,57.21,44.1,68.5,56.3
2016-CA-091,2016,CA-091,Sierra,60.57,36,61.1,48.6
2016-CA-093,2016,CA-093,Siskiyou,48.93,38.7,61.5,50.1
2016-CA-095,2016,CA-095,Solano,22.86,49.6,74.2,61.9
2016-CA-097,2016,CA-097,Sonoma,49.56,47.3,69,58.2
2016-CA-099,2016,CA-099,Stanislaus,18.04,50,76.3,63.2
2016-CA-101,2016,CA-101,Sutter,21.39,51.1,77.5,64.3
2016-CA-103,2016,CA-103,Tehama,47.99,48.2,71.1,59.7
2016-CA-105,2016,CA-105,Trinity,74.92,42,66,54
2016-CA-107,2016,CA-107,Tulare,19.73,43.6,68.1,55.8
2016-CA-109,2016,CA-109,Tuolumne,45.14,39.7,63.9,51.8
2016-CA-111,2016,CA-111,Ventura,16.14,46.7,72.5,59.6
2016-CA-113,2016,CA-113,Yolo,22.92,49.8,76.3,63.1
2016-CA-115,2016,CA-115,Yuba,46.73,49.5,74,61.7
2017-CA-001,2017,CA-001,Alameda,24.97,49.8,71.2,60.5
2017-CA-003,2017,CA-003,Alpine,64.24,34.3,56.5,45.4
2017-CA-005,2017,CA-005,Amador,55.94,47.6,71.5,59.5
2017-CA-007,2017,CA-007,Butte,56.41,48.9,73.4,61.1
2017-CA-009,2017,CA-009,Calaveras,51.55,47.7,72.3,60
2017-CA-011,2017,CA-011,Colusa,27.44,50,75.8,62.9
2017-CA-013,2017,CA-013,Contra Costa,26.84,50.3,72.7,61.5
